fecha_mes,TOTAL,ANIO,COD_MES,ESTACION,TEMP_PROMEDIO_MES,PRECIPITACION_MES
2007-01-01,12097,2007,1,Verano,19.238709677419354,170.56
2007-02-01,9801,2007,2,Verano,17.37232142857143,72.975
2007-03-01,12631,2007,3,Otoño,16.87016129032258,143.925
2007-04-01,16665,2007,4,Otoño,16.035833333333333,88.175
2007-05-01,24004,2007,5,Otoño,14.376612903225807,41.575
2007-06-01,26865,2007,6,Invierno,13.8275,12.950000000000001
2007-07-01,25139,2007,7,Invierno,13.259677419354839,24.625
2007-08-01,23411,2007,8,Invierno,13.296774193548387,16.9
2007-09-01,23581,2007,9,Primavera,13.491666666666667,54.474999999999994
2007-10-01,22167,2007,10,Primavera,14.424193548387096,98.0
2007-11-01,19327,2007,11,Primavera,15.3275,95.125
2007-12-01,8368,2007,12,Verano,15.996774193548386,70.925
2008-01-01,12235,2008,1,Verano,16.85967741935484,170.925
2008-02-01,10078,2008,2,Verano,17.119827586206895,119.225
2008-03-01,11733,2008,3,Otoño,17.073387096774194,102.82499999999999
2008-04-01,18733,2008,4,Otoño,15.795,59.65
2008-05-01,21564,2008,5,Otoño,14.398387096774194,36.25
2008-06-01,27552,2008,6,Invierno,13.744166666666667,23.75
2008-07-01,29703,2008,7,Invierno,13.455645161290324,16.475
2008-08-01,27908,2008,8,Invierno,14.029032258064516,18.55
2008-09-01,28565,2008,9,Primavera,14.606666666666667,40.725
2008-10-01,22879,2008,10,Primavera,14.965322580645163,93.65
2008-11-01,21652,2008,11,Primavera,16.09,77.60000000000001
2008-12-01,10307,2008,12,Verano,16.34516129032258,97.05000000000001
2009-01-01,17673,2009,1,Verano,16.857258064516127,179.475
2009-02-01,17086,2009,2,Verano,17.310714285714287,154.5
2009-03-01,15466,2009,3,Otoño,17.025,145.1
2009-04-01,23871,2009,4,Otoño,16.31083333333333,77.825
2009-05-01,26326,2009,5,Otoño,15.253225806451614,42.8
2009-06-01,28573,2009,6,Invierno,14.029166666666669,26.924999999999997
2009-07-01,26924,2009,7,Invierno,13.741129032258065,27.675
2009-08-01,28167,2009,8,Invierno,13.988709677419354,22.674999999999997
2009-09-01,31101,2009,9,Primavera,14.61,45.45
2009-10-01,29164,2009,10,Primavera,15.528225806451612,78.7
2009-11-01,27864,2009,11,Primavera,16.4225,87.125
2009-12-01,13353,2009,12,Verano,15.48516129032258,117.78
